word_id,french,article,english,phonetic,week_introduced,topic,status,high_frequency,appears_in_reading,appears_in_writing,example_french,example_english,notes
W0031,au café,,at the cafe,oh kah-FAY,1,core,active,yes,yes,yes,Samira est au café.,Samira is at the cafe.,current support; Week 1 cumulative practice item 31
W0032,au parc,,at the park,oh park,1,core,active,yes,yes,yes,Marc est au parc.,Marc is at the park.,current support; Week 1 cumulative practice item 32
W0033,à la maison,,at home,ah lah meh-ZOHN,1,core,active,yes,yes,yes,Je suis à la maison.,I am at home.,current support; Week 1 cumulative practice item 33
W0034,avec,,with,ah-VEK,1,core,active,yes,yes,yes,Je suis avec Samira.,I am with Samira.,current support; Week 1 cumulative practice item 34
W0035,et,,and,ay,1,core,active,yes,yes,yes,Alex et Samira sont en classe.,Alex and Samira are in class.,current support; Week 1 cumulative practice item 35
W0036,oui,,yes,wee,1,core,active,yes,yes,yes,"Oui, je suis Alex.","Yes, I am Alex.",current support; Week 1 cumulative practice item 36
W0037,non,,no,noh,1,core,active,yes,yes,yes,"Non, je suis Marc.","No, I am Marc.",current support; Week 1 cumulative practice item 37
W0038,qui,,who,kee,1,core,active,yes,yes,yes,Qui est Samira ?,Who is Samira?,current support; Week 1 cumulative practice item 38
W0039,quoi,,what,kwah,1,core,active,yes,yes,yes,Quoi ? Bonjour ?,What? Hello?,current support; Week 1 cumulative practice item 39
W0040,ici,,here,ee-SEE,1,core,active,yes,yes,yes,Je suis ici.,I am here.,current support; Week 1 cumulative practice item 40
W0041,très,,very,treh,1,core,active,yes,yes,yes,"Très bien, merci.","Very well, thank you.",current support; Week 1 cumulative practice item 41
W0042,bien,,well / good,bee-EN,1,core,active,yes,yes,yes,Je suis bien.,I am well.,current support; Week 1 cumulative practice item 42
W0043,pardon,,sorry / excuse me,par-DOHN,1,core,active,yes,yes,yes,"Pardon, Madame Dupont.","Excuse me, Ms. Dupont.",current support; Week 1 cumulative practice item 43
W0044,days of the week,,"Monday to Sunday: lundi, mardi, mercredi, jeudi, vendredi, samedi, dimanche",luhn-DEE ... dee-MAHNSH,1,calendar,active,yes,yes,yes,Nous sommes en classe lundi.,We are in class on Monday.,current support; Week 1 cumulative practice item 44
W0045,months of the year,,"January to December: janvier, février, mars, avril, mai, juin, juillet, août, septembre, octobre, novembre, décembre",zhahn-VYAY ... day-SAHNBR,1,calendar,active,yes,yes,yes,Janvier est un mois.,January is a month.,current support; Week 1 cumulative practice item 45
W0046,salle,la,room,sahl,1,classroom,active,yes,yes,yes,La salle est simple.,The room is simple.,current support; Week 1 cumulative practice item 46
W0047,tableau,le,board,tah-BLOH,1,classroom,active,yes,yes,yes,Le tableau est en classe.,The board is in class.,current support; Week 1 cumulative practice item 47
W0048,porte,la,door,port,1,classroom,active,yes,yes,yes,La porte est ici.,The door is here.,current support; Week 1 cumulative practice item 48
W0049,lecture,la,reading,lek-TUR,1,skills,active,yes,yes,yes,La lecture est courte.,The reading is short.,current support; Week 1 cumulative practice item 49
W0050,écoute,l',listening,ay-KOOT,1,skills,active,yes,yes,yes,L'écoute est courte.,The listening is short.,current support; Week 1 cumulative practice item 50
W0051,écriture,l',writing,ay-kree-TUR,1,skills,active,yes,yes,yes,L'écriture est simple.,The writing is simple.,current support; Week 1 cumulative practice item 51
W0052,lire,,to read,leer,1,learning,active,yes,yes,yes,Lire la phrase.,Read the sentence.,current support; Week 1 cumulative practice item 52
W0053,écouter,,to listen,ay-koo-TAY,1,learning,active,yes,yes,yes,Écouter la phrase.,Listen to the sentence.,current support; Week 1 cumulative practice item 53
W0054,écrire,,to write,ay-KREER,1,learning,active,yes,yes,yes,Écrire une phrase.,Write a sentence.,current support; Week 1 cumulative practice item 54
W0055,répéter,,to repeat,ray-pay-TAY,1,learning,active,yes,yes,yes,Répéter le mot.,Repeat the word.,current support; Week 1 cumulative practice item 55
W0056,regarder,,to look,ruh-gar-DAY,1,learning,active,yes,yes,yes,Regarder le tableau.,Look at the board.,current support; Week 1 cumulative practice item 56
W0057,simple,,simple,sampl,1,adjectives,active,yes,yes,yes,La phrase est simple.,The sentence is simple.,current support; Week 1 cumulative practice item 57
W0058,court / courte,,short,koor / koort,1,adjectives,active,yes,yes,yes,Le quiz est court.,The quiz is short.,current support; Week 1 cumulative practice item 58
W0059,nouveau / nouvelle,,new,noo-VOH / noo-VEL,1,adjectives,active,yes,yes,yes,Le mot est nouveau.,The word is new.,current support; Week 1 cumulative practice item 59
W0060,facile,,easy,fah-SEEL,1,adjectives,active,yes,yes,yes,La réponse est facile.,The answer is easy.,current support; Week 1 cumulative practice item 60
W0061,difficile,,difficult,dee-fee-SEEL,1,adjectives,active,yes,yes,yes,La question est difficile.,The question is difficult.,current support; Week 1 cumulative practice item 61
W0062,aujourd'hui,,today,oh-zhoor-DWEE,1,time,active,yes,yes,yes,"Aujourd'hui, je suis en classe.","Today, I am in class.",current support; Week 1 cumulative practice item 62
W0063,demain,,tomorrow,duh-MAN,1,time,active,yes,yes,yes,"Demain, je suis à la maison.","Tomorrow, I am at home.",current support; Week 1 cumulative practice item 63
W0064,maintenant,,now,mant-NAHN,1,time,active,yes,yes,yes,"Maintenant, je suis ici.","Now, I am here.",current support; Week 1 cumulative practice item 64
W0065,bienvenue,,welcome,byen-vuh-NUU,1,greetings,active,yes,yes,yes,Bienvenue en classe.,Welcome to class.,current support; Week 1 cumulative practice item 65
W0066,en retard,,late,ahn ruh-TAR,1,time,active,yes,yes,yes,Je suis en retard.,I am late.,current support; Week 1 cumulative practice item 66
W0067,présent / présente,,present,pray-ZAHN / pray-ZAHNT,1,classroom,active,yes,yes,yes,Je suis présent.,I am present.,current support; Week 1 cumulative practice item 67
W0068,absent / absente,,absent,ab-SAHN / ab-SAHNT,1,classroom,active,yes,yes,yes,Marc est absent.,Marc is absent.,current support; Week 1 cumulative practice item 68
W0069,calme,,calm / quiet,kalm,1,adjectives,active,yes,yes,yes,La classe est calme.,The class is quiet.,current support; Week 1 cumulative practice item 69
W0070,prêt / prête,,ready,preh / pret,1,adjectives,active,yes,yes,yes,Je suis prêt.,I am ready.,current support; Week 1 cumulative practice item 70
W0071,important / importante,,important,an-por-TAHN,1,adjectives,active,yes,yes,yes,La question est importante.,The question is important.,current support; Week 1 cumulative practice item 71
W0072,utile,,useful,uu-TEEL,1,adjectives,active,yes,yes,yes,Le mot est utile.,The word is useful.,current support; Week 1 cumulative practice item 72
W0073,correct / correcte,,correct,ko-REKT,1,adjectives,active,yes,yes,yes,La réponse est correcte.,The answer is correct.,current support; Week 1 cumulative practice item 73
W0074,premier / première,,first,pruh-MYAY / pruh-MYAIR,1,order,active,yes,yes,yes,La première phrase est courte.,The first sentence is short.,current support; Week 1 cumulative practice item 74
W0075,dernier / dernière,,last,dehr-NYAY / dehr-NYAIR,1,order,active,yes,yes,yes,La dernière question est facile.,The last question is easy.,current support; Week 1 cumulative practice item 75
W0076,numbers 0-10,,"zéro, un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix","zay-ROH, uhn, duh...",2,numbers,active,yes,yes,yes,Samira a six ans. Alex a dix ans.,Samira is six years old. Alex is ten years old.,new; Week 2 cumulative practice item 1
W0077,j'ai,,I have,zhay,2,core,active,yes,yes,yes,J'ai un livre.,I have a book.,new; Week 2 cumulative practice item 2
W0078,tu as,,you have,too ah,2,core,active,yes,yes,yes,Tu as un téléphone.,You have a phone.,new; Week 2 cumulative practice item 3
W0079,il a,,he has,eel ah,2,core,active,yes,yes,yes,Il a dix ans.,He is ten years old.,new; Week 2 cumulative practice item 4
W0080,elle a,,she has,el ah,2,core,active,yes,yes,yes,Elle a une sœur.,She has a sister.,new; Week 2 cumulative practice item 5
W0081,nous avons,,we have,noo zah-VOHN,2,core,active,yes,yes,yes,Nous avons un livre.,We have a book.,new; Week 2 cumulative practice item 6
W0082,vous avez,,you have,voo zah-VAY,2,core,active,yes,yes,yes,Vous avez un téléphone.,You have a phone.,new; Week 2 cumulative practice item 7
W0083,ans,,years old,ahn,2,core,active,yes,yes,yes,J'ai dix ans.,I am ten years old.,new; Week 2 cumulative practice item 8
W0084,famille,la,family,fah-MEE,2,core,active,yes,yes,yes,J'ai une famille.,I have a family.,new; Week 2 cumulative practice item 9
W0085,mère,la,mother,mehr,2,core,active,yes,yes,yes,Samira a une mère.,Samira has a mother.,new; Week 2 cumulative practice item 10
W0086,père,le,father,pehr,2,core,active,yes,yes,yes,Marc a un père.,Marc has a father.,new; Week 2 cumulative practice item 11
W0087,frère,le,brother,frair,2,core,active,yes,yes,yes,Alex a un frère.,Alex has a brother.,new; Week 2 cumulative practice item 12
W0088,sœur,la,sister,suhr,2,core,active,yes,yes,yes,Samira a une sœur.,Samira has a sister.,new; Week 2 cumulative practice item 13
W0089,livre,un,book,leev-ruh,2,core,active,yes,yes,yes,J'ai un livre.,I have a book.,new; Week 2 cumulative practice item 14
W0090,téléphone,un,phone,tay-lay-FOHN,2,core,active,yes,yes,yes,Elle a un téléphone.,She has a phone.,new; Week 2 cumulative practice item 15
W0091,ami,un,friend,ah-MEE,2,core,active,yes,yes,yes,Marc est un ami.,Marc is a friend.,new; Week 2 cumulative practice item 16
W0092,amie,une,friend,ah-MEE,2,core,active,yes,yes,yes,Samira est une amie.,Samira is a friend.,new; Week 2 cumulative practice item 17
W0093,classe,la,class,klass,2,core,active,yes,yes,yes,Nous avons une classe lundi.,We have a class on Monday.,new; Week 2 cumulative practice item 18
W0094,professeure,la,teacher,pro-feh-SUR,2,core,active,yes,yes,yes,Madame Dupont est la professeure.,Madame Dupont is the teacher.,current support; Week 2 cumulative practice item 19
W0095,exercice,un,exercise,eg-zer-SEES,2,core,active,yes,yes,yes,J'ai un exercice.,I have an exercise.,current support; Week 2 cumulative practice item 20
W0096,question,une,question,kes-tee-OHN,2,core,active,yes,yes,yes,Tu as une question.,You have a question.,current support; Week 2 cumulative practice item 21
W0097,réponse,une,answer,ray-POHNS,2,core,active,yes,yes,yes,J'ai une réponse.,I have an answer.,current support; Week 2 cumulative practice item 22
W0098,page,une,page,pahzh,2,core,active,yes,yes,yes,Nous avons une page.,We have a page.,current support; Week 2 cumulative practice item 23
W0099,mot,un,word,moh,2,core,active,yes,yes,yes,Elle a un mot.,She has a word.,current support; Week 2 cumulative practice item 24
W0100,phrase,une,sentence,fraz,2,core,active,yes,yes,yes,J'ai une phrase.,I have a sentence.,current support; Week 2 cumulative practice item 25
W0101,cahier,un,notebook,kah-YAY,2,core,active,yes,yes,yes,Alex a un cahier.,Alex has a notebook.,current support; Week 2 cumulative practice item 26
W0102,stylo,un,pen,stee-LOH,2,core,active,yes,yes,yes,Samira a un stylo.,Samira has a pen.,current support; Week 2 cumulative practice item 27
W0103,sac,un,bag,sak,2,core,active,yes,yes,yes,Marc a un sac.,Marc has a bag.,current support; Week 2 cumulative practice item 28
W0104,table,une,table,tahbl,2,core,active,yes,yes,yes,Nous avons une table.,We have a table.,current support; Week 2 cumulative practice item 29
W0105,chaise,une,chair,shehz,2,core,active,yes,yes,yes,Vous avez une chaise.,You have a chair.,current support; Week 2 cumulative practice item 30
W0106,bonjour,,hello / good day,bohn-ZHOOR,2,recent review from Week 1,active,yes,yes,yes,"Bonjour, je m'appelle Alex.","Hello, my name is Alex.",recent review; Week 2 cumulative practice item 31
W0107,salut,,hi / bye,sah-LUU,2,recent review from Week 1,active,yes,yes,yes,"Salut, Samira !","Hi, Samira!",recent review; Week 2 cumulative practice item 32
W0108,au revoir,,goodbye,oh ruh-VWAHR,2,recent review from Week 1,active,yes,yes,yes,"Au revoir, Madame Dupont.","Goodbye, Madame Dupont.",recent review; Week 2 cumulative practice item 33
W0109,merci,,thank you,mehr-SEE,2,recent review from Week 1,active,yes,yes,yes,"Merci, Marc.","Thank you, Marc.",recent review; Week 2 cumulative practice item 34
W0110,s'il vous plaît,,please,seel voo PLEH,2,recent review from Week 1,active,yes,yes,yes,"Bonjour, s'il vous plaît.","Hello, please.",recent review; Week 2 cumulative practice item 35
W0111,je,,I,zhuh,2,recent review from Week 1,active,yes,yes,yes,Je suis Alex.,I am Alex.,recent review; Week 2 cumulative practice item 36
W0112,tu,,you,too,2,recent review from Week 1,active,yes,yes,yes,Tu es Samira.,You are Samira.,recent review; Week 2 cumulative practice item 37
W0113,il,,he,eel,2,recent review from Week 1,active,yes,yes,yes,Il est Marc.,He is Marc.,recent review; Week 2 cumulative practice item 38
W0114,elle,,she,el,2,recent review from Week 1,active,yes,yes,yes,Elle est Samira.,She is Samira.,recent review; Week 2 cumulative practice item 39
W0115,nous,,we,noo,2,recent review from Week 1,active,yes,yes,yes,Nous sommes en classe.,We are in class.,recent review; Week 2 cumulative practice item 40
W0116,vous,,you,voo,2,recent review from Week 1,active,yes,yes,yes,Vous êtes Madame Dupont.,You are Madame Dupont.,recent review; Week 2 cumulative practice item 41
W0117,ils,,they (masculine/mixed),eel,2,recent review from Week 1,active,yes,yes,yes,Ils sont en classe.,They are in class.,recent review; Week 2 cumulative practice item 42
W0118,elles,,they (feminine),el,2,recent review from Week 1,active,yes,yes,yes,Elles sont en classe.,They are in class.,recent review; Week 2 cumulative practice item 43
W0119,je m'appelle,,my name is,zhuh mah-PELL,2,recent review from Week 1,active,yes,yes,yes,Je m'appelle Alex.,My name is Alex.,recent review; Week 2 cumulative practice item 44
W0120,je suis,,I am,zhuh swee,2,recent review from Week 1,active,yes,yes,yes,Je suis Alex.,I am Alex.,recent review; Week 2 cumulative practice item 45
W0121,tu es,,you are,too eh,2,recent review from Week 1,active,yes,yes,yes,Tu es Samira.,You are Samira.,recent review; Week 2 cumulative practice item 46
W0122,il est,,he is,eel eh,2,recent review from Week 1,active,yes,yes,yes,Il est Marc.,He is Marc.,recent review; Week 2 cumulative practice item 47
W0123,elle est,,she is,el eh,2,recent review from Week 1,active,yes,yes,yes,Elle est Madame Dupont.,She is Madame Dupont.,recent review; Week 2 cumulative practice item 48
W0124,nous sommes,,we are,noo sohm,2,recent review from Week 1,active,yes,yes,yes,Nous sommes en classe.,We are in class.,recent review; Week 2 cumulative practice item 49
W0125,vous êtes,,you are,voo zet,2,recent review from Week 1,active,yes,yes,yes,Vous êtes Madame Dupont.,You are Madame Dupont.,recent review; Week 2 cumulative practice item 50
W0126,sont,,are,sohn,2,recent review from Week 1,active,yes,yes,yes,Ils sont en classe.,They are in class.,recent review; Week 2 cumulative practice item 51
W0127,être,,to be,EHTR,2,recent review from Week 1,active,yes,yes,yes,Être est le verbe de la semaine.,To be is the verb of the week.,recent review; Week 2 cumulative practice item 52
W0128,Alex,,Alex,ah-LEKS,2,recent review from Week 1,active,yes,yes,yes,Je m'appelle Alex.,My name is Alex.,recent review; Week 2 cumulative practice item 53
W0129,Samira,,Samira,sah-MEE-rah,2,recent review from Week 1,active,yes,yes,yes,Elle est Samira.,She is Samira.,recent review; Week 2 cumulative practice item 54
W0130,bonjour,,hello / good day,bohn-ZHOOR,2,recent review from Week 1,active,yes,yes,yes,"Bonjour, je m'appelle Alex.","Hello, my name is Alex.",recent review; Week 2 cumulative practice item 55
W0131,salut,,hi / bye,sah-LUU,2,recent review from Week 1,active,yes,yes,yes,"Salut, Samira !","Hi, Samira!",recent review; Week 2 cumulative practice item 56
W0132,au revoir,,goodbye,oh ruh-VWAHR,2,recent review from Week 1,active,yes,yes,yes,"Au revoir, Madame Dupont.","Goodbye, Madame Dupont.",recent review; Week 2 cumulative practice item 57
W0133,merci,,thank you,mehr-SEE,2,recent review from Week 1,active,yes,yes,yes,"Merci, Marc.","Thank you, Marc.",recent review; Week 2 cumulative practice item 58
W0134,s'il vous plaît,,please,seel voo PLEH,2,recent review from Week 1,active,yes,yes,yes,"Bonjour, s'il vous plaît.","Hello, please.",recent review; Week 2 cumulative practice item 59
W0135,je,,I,zhuh,2,recent review from Week 1,active,yes,yes,yes,Je suis Alex.,I am Alex.,recent review; Week 2 cumulative practice item 60
W0136,tu,,you,too,2,recent review from Week 1,active,yes,yes,yes,Tu es Samira.,You are Samira.,recent review; Week 2 cumulative practice item 61
W0137,il,,he,eel,2,recent review from Week 1,active,yes,yes,yes,Il est Marc.,He is Marc.,recent review; Week 2 cumulative practice item 62
W0138,elle,,she,el,2,recent review from Week 1,active,yes,yes,yes,Elle est Samira.,She is Samira.,recent review; Week 2 cumulative practice item 63
W0139,nous,,we,noo,2,recent review from Week 1,active,yes,yes,yes,Nous sommes en classe.,We are in class.,recent review; Week 2 cumulative practice item 64
W0140,vous,,you,voo,2,recent review from Week 1,active,yes,yes,yes,Vous êtes Madame Dupont.,You are Madame Dupont.,recent review; Week 2 cumulative practice item 65
W0141,ils,,they (masculine/mixed),eel,2,recent review from Week 1,active,yes,yes,yes,Ils sont en classe.,They are in class.,recent review; Week 2 cumulative practice item 66
W0142,elles,,they (feminine),el,2,recent review from Week 1,active,yes,yes,yes,Elles sont en classe.,They are in class.,recent review; Week 2 cumulative practice item 67
W0143,je m'appelle,,my name is,zhuh mah-PELL,2,recent review from Week 1,active,yes,yes,yes,Je m'appelle Alex.,My name is Alex.,recent review; Week 2 cumulative practice item 68
W0144,je suis,,I am,zhuh swee,2,recent review from Week 1,active,yes,yes,yes,Je suis Alex.,I am Alex.,recent review; Week 2 cumulative practice item 69
W0145,tu es,,you are,too eh,2,recent review from Week 1,active,yes,yes,yes,Tu es Samira.,You are Samira.,recent review; Week 2 cumulative practice item 70
W0146,il est,,he is,eel eh,2,recent review from Week 1,active,yes,yes,yes,Il est Marc.,He is Marc.,recent review; Week 2 cumulative practice item 71
W0147,elle est,,she is,el eh,2,recent review from Week 1,active,yes,yes,yes,Elle est Madame Dupont.,She is Madame Dupont.,recent review; Week 2 cumulative practice item 72
W0148,nous sommes,,we are,noo sohm,2,recent review from Week 1,active,yes,yes,yes,Nous sommes en classe.,We are in class.,recent review; Week 2 cumulative practice item 73
W0149,vous êtes,,you are,voo zet,2,recent review from Week 1,active,yes,yes,yes,Vous êtes Madame Dupont.,You are Madame Dupont.,recent review; Week 2 cumulative practice item 74
W0150,sont,,are,sohn,2,recent review from Week 1,active,yes,yes,yes,Ils sont en classe.,They are in class.,recent review; Week 2 cumulative practice item 75
W0151,un,,a / an masculine,listen and repeat,3,articles,active,yes,yes,yes,J'ai un livre dans mon sac.,I have a book in my bag.,new; Week 3 cumulative practice item 1
W0152,une,,a / an feminine,listen and repeat,3,articles,active,yes,yes,yes,Samira a une lampe sur la table.,Samira has a lamp on the table.,new; Week 3 cumulative practice item 2
W0153,le,,the masculine,listen and repeat,3,articles,active,yes,yes,yes,Le livre est sur le bureau.,The book is on the desk.,new; Week 3 cumulative practice item 3
W0154,la,,the feminine,listen and repeat,3,articles,active,yes,yes,yes,La lampe est pres du lit.,The lamp is near the bed.,new; Week 3 cumulative practice item 4
W0155,l',,the before vowel,listen and repeat,3,articles,active,yes,yes,yes,L'ordinateur est dans la classe.,The computer is in the class.,new; Week 3 cumulative practice item 5
W0156,les,,the plural,listen and repeat,3,articles,active,yes,yes,yes,Les stylos sont sur la table.,The pens are on the table.,new; Week 3 cumulative practice item 6
W0157,des,,some / plural a,listen and repeat,3,articles,active,yes,yes,yes,J'ai des cahiers pour la classe.,I have some notebooks for class.,new; Week 3 cumulative practice item 7
W0158,livre,un,book,leevr,3,classroom,active,yes,yes,yes,Alex a un livre bleu.,Alex has a blue book.,new; Week 3 cumulative practice item 8
W0159,lampe,une,lamp,lahmp,3,home,active,yes,yes,yes,La lampe est dans la chambre.,The lamp is in the bedroom.,new; Week 3 cumulative practice item 9
W0160,table,une,table,TAHBL,3,home,active,yes,yes,yes,Une table est pres de la fenetre.,A table is near the window.,new; Week 3 cumulative practice item 10
W0161,bureau,un,desk / office,boo-ROH,3,home,active,yes,yes,yes,Le bureau de Madame Dupont est propre.,Madame Dupont's desk is clean.,new; Week 3 cumulative practice item 11
W0162,chaise,une,chair,shehz,3,home,active,yes,yes,yes,La chaise est a cote de la table.,The chair is beside the table.,new; Week 3 cumulative practice item 12
W0163,lit,un,bed,lee,3,home,active,yes,yes,yes,Le lit est dans la chambre.,The bed is in the bedroom.,new; Week 3 cumulative practice item 13
W0164,chambre,une,bedroom,SHAHMBR,3,home,active,yes,yes,yes,"Dans ma chambre, j'ai une lampe.","In my bedroom, I have a lamp.",new; Week 3 cumulative practice item 14
W0165,cuisine,une,kitchen,kwee-ZEEN,3,home,active,yes,yes,yes,La cuisine est petite.,The kitchen is small.,new; Week 3 cumulative practice item 15
W0166,salon,un,living room,sah-LOHN,3,home,active,yes,yes,yes,Le salon est calme.,The living room is calm.,new; Week 3 cumulative practice item 16
W0167,fenetre,une,window,fuh-NEHTR,3,home,active,yes,yes,yes,La fenetre est ouverte.,The window is open.,new; Week 3 cumulative practice item 17
W0168,porte,une,door,port,3,home,active,yes,yes,yes,La porte est fermee.,The door is closed.,new; Week 3 cumulative practice item 18
W0169,cle,une,key,klay,3,home,active,yes,yes,yes,J'ai une cle dans mon sac.,I have a key in my bag.,current support; Week 3 cumulative practice item 19
W0170,sac,un,bag,sak,3,classroom,active,yes,yes,yes,Marc a un sac noir.,Marc has a black bag.,current support; Week 3 cumulative practice item 20
W0171,cahier,un,notebook,kah-YAY,3,classroom,active,yes,yes,yes,Le cahier est sur le bureau.,The notebook is on the desk.,current support; Week 3 cumulative practice item 21
W0172,stylo,un,pen,stee-LOH,3,classroom,active,yes,yes,yes,J'ai des stylos pour la classe.,I have pens for class.,current support; Week 3 cumulative practice item 22
W0173,ordinateur,un,computer,or-dee-nah-TUHR,3,classroom,active,yes,yes,yes,L'ordinateur est a cote du livre.,The computer is next to the book.,current support; Week 3 cumulative practice item 23
W0174,telephone,un,phone,tay-lay-FOHN,3,objects,active,yes,yes,yes,Le telephone de Samira est dans son sac.,Samira's phone is in her bag.,current support; Week 3 cumulative practice item 24
W0175,sur,,on,listen and repeat,3,place,active,yes,yes,yes,Le livre est sur la table.,The book is on the table.,current support; Week 3 cumulative practice item 25
W0176,dans,,in,listen and repeat,3,place,active,yes,yes,yes,La cle est dans le sac.,The key is in the bag.,current support; Week 3 cumulative practice item 26
W0177,pres de,,near,listen and repeat,3,place,active,yes,yes,yes,La lampe est pres du lit.,The lamp is near the bed.,current support; Week 3 cumulative practice item 27
W0178,a cote de,,next to,listen and repeat,3,place,active,yes,yes,yes,La chaise est a cote de la table.,The chair is next to the table.,current support; Week 3 cumulative practice item 28
W0179,devant,,in front of,listen and repeat,3,place,active,yes,yes,yes,Marc est devant la porte.,Marc is in front of the door.,current support; Week 3 cumulative practice item 29
W0180,derriere,,behind,listen and repeat,3,place,active,yes,yes,yes,Le sac est derriere la chaise.,The bag is behind the chair.,current support; Week 3 cumulative practice item 30
W0181,bonjour,,hello / good day,bohn-ZHOOR,3,recent review from Week 1,active,yes,yes,yes,"Bonjour, je m'appelle Alex.","Hello, my name is Alex.",recent review; Week 3 cumulative practice item 31
W0182,numbers 0-10,,"zéro, un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix","zay-ROH, uhn, duh...",3,recent review from Week 2,active,yes,yes,yes,Samira a six ans. Alex a dix ans.,Samira is six years old. Alex is ten years old.,recent review; Week 3 cumulative practice item 32
W0183,salut,,hi / bye,sah-LUU,3,recent review from Week 1,active,yes,yes,yes,"Salut, Samira !","Hi, Samira!",recent review; Week 3 cumulative practice item 33
W0184,j'ai,,I have,zhay,3,recent review from Week 2,active,yes,yes,yes,J'ai un livre.,I have a book.,recent review; Week 3 cumulative practice item 34
